max_table_score,mean_table_score,median_table_score
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.3146342,0.3
1,0.3146342,0.3
1,0.3146342,0.3
1,0.3146342,0.3
1,0.3465117,0.3
1,0.3465117,0.3
1,0.3613637,0.35
1,0.3613637,0.35
1,0.3613637,0.35
2,0.3977778,0.4
2,0.4108696,0.4
2,0.5041667,0.5
2,0.5109589,0.5
3,0.5828947,0.55
3,0.6064103,0.6
3,0.6125,0.6
3,0.6296296,0.6
3,0.6547619,0.6
3,0.682353,0.6
3,0.682353,0.6
3,0.6848837,0.6
3,0.7022472,0.6
3,0.7390001,0.7
3,0.7690001,0.7
3,0.8020001,0.7
3,0.8370001,0.7
3,0.8460001,0.7
3,0.8560001,0.75
3,0.8910002,0.8
3,0.9070002,0.8
3,0.9590002,0.8
4,1.002,0.85
4,1.016,0.85
4,1.059,0.9
4,1.067,0.9
4,1.1,0.9
4,1.104,0.9
4,1.108,0.9
4,1.108,0.9
4,1.135,0.9
4,1.14,0.95
4,1.145,1
4,1.163,1
4,1.187,1
5,1.254,1
5,1.257,1
5,1.26,1
5,1.279001,1
5,1.292,1
5,1.292,1
5,1.338001,1
5,1.341001,1
5,1.346001,1
5,1.351001,1
5,1.376,1
5,1.378,1
5,1.38,1
5,1.382,1
5,1.394,1
5,1.396,1
5,1.398,1
5,1.403,1
5,1.405,1
5,1.419,1
5,1.42,1
5,1.423,1
5,1.424,1
5,1.435,1
5,1.468,1
5,1.531,1
5,1.533,1
5,1.544001,1
5,1.586001,1
5,1.608001,1
5,1.608001,1
5,1.640001,1
5,1.640001,1
5,1.650001,1
5,1.650001,1
5,1.650001,1
5,1.650001,1
5,1.650001,1
5,1.650001,1
5,1.660001,1
5,1.660001,1
5,1.660001,1
5,1.660001,1
5,1.660001,1
5,1.660001,1
5,1.660001,1
5,1.660001,1
5,1.680001,1
5,1.690001,1
5,1.690001,1
5,1.710001,1
5,1.710001,1
5,1.710001,1
5,1.710001,1
5,1.710001,1
5,1.710001,1
5,1.710001,1
5,1.720001,1
5,1.730001,1
5,1.730001,1
5,1.730001,1
5,1.770001,1
