max_table_score,mean_table_score,median_table_score
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.9,0.4069767,0.5
0.9,0.4069767,0.5
0.9,0.4069767,0.5
0.9,0.4069767,0.5
0.9,0.4069767,0.5
1,0.4456521,0.5
1,0.4456521,0.5
1,0.4456521,0.5
1,0.4574468,0.5
1,0.4574468,0.5
1,0.4574468,0.5
1,0.4525,0.5
1,0.4525,0.5
1,0.4525,0.5
1,0.4525,0.5
2,0.471605,0.5
2,0.5034885,0.5
2,0.5034885,0.5
2,0.5147728,0.5
2,0.5202248,0.5
2,0.5255556,0.5
2,0.5408603,0.5
3,0.6490002,0.6
3,0.6490002,0.6
3,0.6580002,0.6
3,0.6580002,0.6
3,0.6840003,0.6
3,0.7220004,0.6
3,0.7220004,0.6
3,0.7520003,0.7
3,0.7750002,0.7
3,0.7750002,0.7
3,0.7810002,0.7
3,0.816,0.7
3,0.816,0.7
3,0.825,0.7
3,0.825,0.7
3,0.8290001,0.7
3,0.8370001,0.75
3,0.8370001,0.75
3,0.8420001,0.8
3,0.8720001,0.8
3,0.8760002,0.8
3,0.8760002,0.8
3,0.8890002,0.8
3,0.9310002,0.8
3,0.9390002,0.8
3,0.9390002,0.8
3,0.9430003,0.8
3,0.9590003,0.8
3,0.9590003,0.8
3,0.9680004,0.8
4,1.03,0.9
4,1.03,0.9
4,1.044,0.9
4,1.064001,0.9
4,1.077001,0.9
4,1.113001,0.9
4,1.113001,0.9
4,1.114001,0.9
4,1.127001,0.9
4,1.163001,0.95
4,1.168001,1
4,1.173001,1
4,1.173001,1
4,1.222001,1
4,1.238001,1
4,1.239001,1
4,1.255001,1
4,1.255001,1
4,1.255001,1
4,1.281002,1
4,1.283002,1
4,1.296001,1
4,1.301001,1
4,1.327001,1
4,1.329001,1
4,1.330001,1
4,1.330001,1
4,1.333001,1
4,1.333001,1
4,1.359001,1
4,1.361001,1
4,1.363001,1
4,1.363001,1
4,1.375001,1
4,1.379001,1
4,1.403001,1
4,1.403001,1
5,1.447001,1
5,1.449001,1
5,1.449001,1
5,1.453001,1
5,1.454001,1
5,1.455001,1
