max_table_score,mean_table_score,median_table_score
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.9,0.365,0.35
0.9,0.365,0.35
0.9,0.365,0.35
1,0.3952381,0.4
1,0.4227273,0.4
1,0.4227273,0.4
1,0.4227273,0.4
1,0.4227273,0.4
1,0.4478261,0.4
1,0.4478261,0.4
1,0.4478261,0.4
1,0.4416667,0.4
1,0.46,0.4
2,0.5192308,0.45
2,0.5222222,0.5
2,0.5142857,0.45
2,0.5172414,0.5
2,0.5172414,0.5
2,0.53,0.55
2,0.5322581,0.6
2,0.5363637,0.6
2,0.5352941,0.55
2,0.5314286,0.5
2,0.5333334,0.55
2,0.5351351,0.6
2,0.5210527,0.55
2,0.53,0.55
2,0.5341464,0.6
6,0.6642858,0.6
6,0.6651163,0.6
6,0.6613637,0.6
6,0.6577778,0.6
6,0.6574469,0.6
6,0.6479167,0.55
6,0.6530613,0.6
6,0.6500001,0.55
6,0.6500001,0.55
6,0.6490197,0.6
6,0.6490197,0.6
6,0.65,0.6
6,0.6547171,0.6
6,0.6547171,0.6
6,0.6555557,0.6
6,0.6527274,0.6
6,0.6553572,0.6
6,0.6614036,0.6
6,0.6666667,0.6
6,0.6704919,0.6
6,0.6704919,0.6
6,0.6704919,0.6
6,0.6629033,0.6
6,0.6666668,0.6
6,0.666154,0.6
6,0.659091,0.6
6,0.6626867,0.6
6,0.6626867,0.6
6,0.6626867,0.6
6,0.6558825,0.6
6,0.6558825,0.6
6,0.6558825,0.6
6,0.6957748,0.6
6,0.7000001,0.6
6,0.7000001,0.6
6,0.718919,0.6
6,0.7146668,0.6
6,0.7092106,0.6
6,0.7103897,0.6
6,0.7102565,0.6
6,0.7300001,0.6
6,0.7300001,0.6
6,0.7320989,0.6
6,0.7325302,0.6
6,0.7309525,0.6
6,0.7282354,0.6
6,0.7528737,0.6
6,0.7494382,0.6
6,0.7633334,0.6
6,0.7615385,0.6
6,0.7565218,0.6
6,0.755914,0.6
6,0.7574469,0.6
6,0.7578948,0.6
6,0.7608249,0.6
6,0.757143,0.6
6,0.7515153,0.6
6,0.7515153,0.6
6,0.7515153,0.6
